Grievance,RepliedGrievance
Requested choice code not match this message pop up at the time of college selection and not save more than 3 colleges and go save & further steps .....................kindly reply with solution.,Please check after some time
Unable to lock college preference.,please provide screenshot
Its showing registration detail is incomplete but I filled everything.,This issues is solve please Just relog Your account refresh the dashboard
I am unable to add more then one college. When I try to selec more then one the other selected college gets removed and selected preference college table shows only one college,Please check after some time
"Sir/ Madam I have paid the fees but it's not showing on the website it's just showing pending and pending 
I am sharing fees transaction below .
Please Sir/Madam help me out",Check after 4 or 24 hours for bank reconciliation
"Adding other college, showing same college 3 times
Tell developer team that only one college will show",Please check after some time
"Adding other college, showing same college 3 times
Tell developer team that only one college will show",Please check after some time
"Adding other college, showing same college 3 times
Tell developer team that only one college will show",Please check after some time
"Hi,

While saving Lock Application Form, we got the error message mentioning ""Application form is incomplete. Missing sections: Registration Details""

Kindly note that we have updated the Registration Details properly. As of now this form is read only format.

Requesting you to kindly resolve the same at the earliest.

Thank you in advance

Regards,
Rida Ali",This issues is solve please Just relog Your account refresh the dashboard
why does application form shows current status as incomplete when everything is filled out ?,Please check after some time
When I select 2nd College for CAP Round It shows Double Entry Of 1st College Which I selected earlier  I am Attaching The Screen Shot of it . Please Resolve The Issue As early as Possible and Let Me know,Please check after some time
When I select 2nd College for CAP Round It shows Double Entry Of 1st College Which I selected earlier  I am Attaching The Screen Shot of it . Please Resolve The Issue As early as Possible and Let Me know,Please check after some time
Same details is displayed if multiple colleges are selected.,Please check after some time
While selecting the collages i am unable to proceed further as same collage is being selected automatically for multiple times and when tried to save it couldnt do it.,Please check after some time
"Dear Team,

There has been issue for selecting 10 Colleges as 10 Colleges cannot be selected even after saving preferences. Please solve the issue ASAP.",Please check after some time
"Hi, I have filled my Application Form Part I. After filling, i am trying to lock application form. However its giving me the error of Registration Details incomplete. I had filled Registration details correctly and fully. Pls help me in resolving this issue.",This issues is solve please Just relog Your account refresh the dashboard
Payment completed but unable to lock the application form,Please provide screenshot
"Trying to select multiple collage, but website is not allowing to do so. When I select first collage and click on Add its get added in the selection list but when  i am trying to select another collage there are two issues 1.1st selected collage get added in the list twicely 2. after adding 2nd collage, 1st selected collage get disappeared from the list.",Please check after some time
"When we try adding the 2nd college after save details, the first college record gets duplicated same as 1st record and throws an error and unable to save them.",Please check after some time
I have filled in all the details properly but I am having trouble locking my profile.,This issues is solve please Just relog Your account refresh the dashboard
Showing failed every time I am trying to fill the part II form,Issue is resolved and now you can fill part II
Showing failed every time I am trying to fill the part II form,Issue is resolved and now you can fill part II
After making a payment it showing a red mark. unable to paid please sortout isssue and inform me.,Check after 4 or 24 hours for bank reconciliation
"i fill whole form, but final submission of part 1 is not happenn",Please check after some time
Unable to lock application after all details have been filled,This issues is solve please Just relog Your account refresh the dashboard
Sir i am not able to lock the application form part 1  it is coming (application form is in complete missing section registration details),This issues is solve please Just relog Your account refresh the dashboard
Unable to lock application form,This issues is solve please Just relog Your account refresh the dashboard
"Respected Sir/Madam, 
          I have completed the payment of Rs. 100/- through PhonePe, but the payment is not showing as successful on my registration portal. I am also providing you with the PhonePe receipt. Please deposit my amount to the portal.",Check after 4 or 24 hours for bank reconciliation
I am constantly trying to fill in the college options but even after selecting different colleges the same college name gets saved automatically on the choices column and after some time all the choices disappear. Please help me in this as this is becoming a headache. Reference picture attached.,Please check after some time
collage preference list does not get selected so please check and revert,this issues is solve please check it
I have paid the money but it still shows that payment is pending please solve this problem as soon as possible ?,Check after 4 or 24 hours for bank reconciliation
Please change the board IGSCE to SSC,"Please write a letter, mention your issue in detail with signature and attach marksheet in grievance."
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
not choosing the collage i saleced,Please check after some time
not choosing the collage i saleced,Please check after some time
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
Payment is done but it's not showing here..,Check after 4 or 24 hours for bank reconciliation
not choosing the collage i saleced,Please check after some time
not choosing the collage i saleced,Please check after some time
"dear team,

while lock application form after proper filled up details, we cannot lock application form, status showing incomplete and pop up come like. registration details.  kindly look into and resolve it immediately for proceed.  i could not lock application form.",Please check after some time.
We are selecting college in Narsee Monjee and Tolani College but receiving the above error. Also when adding Mithibai it still picks up Narsee Monjee.,Please provide issue in detail with necessary documents
Registration fee has been paid but still showing fees pending,Check after 4 or 24 hours for bank reconciliation
Mein ne payment kar diya hai form ka lekin show nahi kar raha hai bol rha hai phirse  payment karo to iska kya solution hai jaldi batatyi,Check after 4 or 24 hours for bank reconciliation
under choose junior college it does not select multiple choices of option and only one college is allowed to be selected,"Kindly check After 12 PM

Thank You"
"after completion all the details when lock application form, status showing incomplete, i could not lock part I form. kindly look into and resolve problem immediately.",Kindly check after 1 PM
"after completion all the details when lock application form, status showing incomplete, i could not lock part I form. kindly look into and resolve problem immediately.","Please ensure you have filled all mandatory fields before locking the form. Once you successfully lock your Part I form, the status will automatically update to 'Completed'."
"Dear Sir/Madam,
While adding second preferred college, the first is coming in both first and second as the preference. while saving the choices, the choices are also not getting saved.",Kindly check after 12 PM
"I m in open catagory, but my caste wrongly selected as special backward class.",Have you paid the fee ? Have you locked your form ?
Showing incomplete form: missing registration details,"Please ensure you have filled all mandatory fields before locking the form. Once you successfully lock your Part I form, the status will automatically update to 'Completed'."
form does not proceeding because registration details missing,Kindly enter registration details and check
"I BELONG TO OBC CASTE, SO FOR THIS WE NEED TO UPLOAD NON CREAMY LAYER CERTIFICATE.
AS I DIDNT HAVE THIS CERTIFICATE, SO I HAVE APPLIED FOR NON CREAMY LAYER CERTIFICATE AT ANDHERI TEHSIL OFFICE, SO I WANTED TO CONFIRM CAN I UPLOAD THE SUBMISSION RECIPET OF NON CREAMY LAYER CERTIFICATE FOR ADMISSION PROCESS. ALSO I TAKE THE RESPONSIBILITY TO SUBMIT THE NON CREAMY LAYER CERTIFICATE AT THE TIME OF VERIFICATION OF DOCUMENTS",Yes.
"Dear Sir 
I have filled in all the details , paid fees as well . However i am not able to lock the form and go to the next section i.e. Part II 
I am getting error as : . Application form is incomplete : Missing sections : Registration Details . 
However pls find attached the screen shot , i have filled in all the required details . 
Kindly help me asap . 
Pls refer error screen shot - 1st screen shot 
2nd and 3rd screen shot is towards the details which has been submitted","Please ensure you have filled all mandatory fields before locking the Part 1 form. After locking Part 1, refresh the page or log in again to proceed to Part 2."
"Hello,

I am not able to add my preferred colleges to the preference list. My preferences are not being saved and the entire list disappears once we click on the next page.",We are already working on that kindly verify/check after sometime.
We are interested to learn about the teaching method of the college,Please mention your issue in detail
"We are not able to save the collee choices,. It resets and it gives an error. Kindly look in to this. Attached screenshot.",We are already working on that kindly verify/check after sometime
"Admission processing fee paid, but not reflecting as paid on the site",Please check after the 1 hour.
"My ward has ""Information Technology"" as ""Additional Subject"", shall I exclude that from the Best of Five? As the portal says optional subject should not be considered, please clarify, it will bring her % down by 2.50% if not considered.",Optional subject not be considered. Please fill only regular subject.
"search engine does not work properly and shows random results, not able to find garware college even after entering the udise code",Please check again.
My date of birth is incorrectly listed as 25/10/2008. My correct date of birth is 06/03/2009. I have tried to update this multiple times without success. Please advise on the process to correct it.,Unlock the form and you can edit birth date.
form does not proceed,"Kindly check after 1 PM

Thank You"
Mark shit,ok
I have paid application fees but it's hasn't yet been reflected on my account,Check after 4 or 24 hours for bank reconciliation
"Dear Team,
i selected a college and saved my preference. Then i selected 2nd college, however, i see same previously selected college in my saved preferences. Also, earlier i saved 6 unique colleges, those two got converted to a single college. Please enable selection of maximum 10 colleges as per the Govt guidelines.",This issues is solve please check it
I am getting error while selecting colleges and not allowing to save preference.,We are already working on that kindly verify/check after sometime.
"I have done my 10th from Jawahar Navodaya Vidyalaya Satara , (CBSE) and I have provided both UDISE and index number still system is not allowing me to choose InHouse quota.

Please could you help me to resolve this issue at the earliest . 

Thanks !",Please provide your school UDISE and index number immediately. Also provide screenshot of the same.
Dakhala,Please mention your issue in brief
Dakhala,Please mention your issue in brief
Dakhala,Please mention your issue in brief
Dakhala,Please mention your issue in brief
कॉलेज निवडताना एकाच कॉलेजचे अनेक कोड आहेत त्याप्रमाणे एकाच कॉलेजचे 3 कोड निवडले असता निवडलेल्या यादित एकच कोड दिसत आहे तसेच दुसरे कॉलेज निवडले असता किंवा डिलीट केले असता निवडलेले यादी संपूर्ण पूसली जात आहे. हा प्रॉब्लेम वारंवार प्रयत्न करूनही कॉलेज निवडण्याकरीता अडचणी निर्माण होत आहेत. तरी मार्गदर्शन व्हावे.,Please check after some time
I cannot lock my application form. It’s showing an error that Application form is incomplete Missing section: Registration details missing.,This issues is solve please Just relog Your account refresh the dashboard
"despite of entering correct school name and u-dise number of the school , system shows that i am not eligible for the inhouse quota , please fix this asap","Unlock your form, in personal details write school index and udise number. If you are eligible for inhouse quota, then it will automatically select yes for inhouse quota."
"r/s
there should be facility for selecting more than one medium of one specific stream.
In our Solapur there are, some good English medium commerce colleges, If their merit will go high at the same  we have to choose Marathi medium commerce colleges like not much famous, so that we will take admission to those colleges in Round 1 itself

Please do the needful",You can choose only one stream and medium at a time
"When the first college is selected and we proceed to select the second college, the first college entry is highlighted over to the second entry.
Secondly, the third college gets highlighted upon selection, but an error code appears.",Please check after some time
"Multiple selection done but shows choice code not selected and also colleges even though ""save choice"" are not showing up for locking",Please check after some time
"I am writing this to request a refund for the accidental payment made by me directly via UPI and instead of the official admission portal
In the choose file option, download the receipt of the payment and attach it there.",You will get you payment back except one within 7 working days.
I have to admission in ramanand DAV,Please mention your issue in brief and provide necessary documents.
"Im not able to select one college,if one college is selected its coming multiple times",Please check after some time
Some colleges in Kolhapur are not showing in the list.. so we are college preparance How to choose?,Please select stream and medium as it is necessary for college search.
Getting Error Registration Form incomplete while Locking Application form but no details pending for update,This issues is solve please Just relog Your account refresh the dashboard
The school UDISE 27251400821 is not getting recognise for within maharashtra catagory,Please mention issue in brief and provide necessary supporting  document
"Dear Team
In 'Choose Jr. Colleges' option, the system is not allowing to select multiple colleges. Only Single college is showing for all the selected colleges, which is a flaw in the programming/coding. Please take it up with web site development to resolve as this must be faced by all students. A student must able to select and save maximum 10 colleges as his/her preference as per the Govt rules which are circulated for this admission process.",This issues is solve please check it
"Hello,
I am unable to select more than 1 colleges in Part 2.
For example
If i select college under UDISE 27230209288 and it shows up under 1st preference, then i select college under UDISE 27230100549,   both entries will show same college. I changed the browser from Edge to Firefox, and also reloaded the PC. Also i restarted PC and tried after 1 hour, but same results.
Please assist.
My user ID ININ75200383499

Brgds
Clifford",This issues is solve please check it
While selecting colleges I am unable to give preferences of my choice. The moment I enter second preference the first one is getting added again and then I am not able to lock my choice.,Please check after some time
UNABLE TO ADD MORE THAN ONE COLLEGE. EVERTIME SELECTING A SECOND COLLEGE IT ADDS THE SAME COLLEGE NAME TO THE LIST WHICH HAS BEEN ALREADY SELECTED,Please check after some time
Could not add more than 1 college although 10 colleges were supposed to be added,Please check after some time
I pay the amount to lock the form but still payment is showing not paid please refund my money or update as soon as possible,Check after 4 or 24 hours for bank reconciliation
"Could not add more than 1 college as a preference, though we were supposed to add atleast 10 college preferences",Kindly verify/check after sometime
"Hello,

We are getting error while locking application part 1 having error incomplete registration details however we already filled all required info.

Please find attached snap for same and advice on name.",This issues is solve please Just relog Your account refresh the dashboard
"When I am choosing colleges the name of first college gets repeated second time, and when I try to click on 'save choices' an error pops out.",Please check after some time
In frist preference I selected terana college and in second preference I selected SCSH Jasai but it showing only terana college in both preference,Please check after some time
"I am writing to bring to your attention an issue I am facing with the payment for the registration fee. I have already completed the payment, but the system still shows the status as ""Pending,"" with a message asking me to wait for 30 minutes. It has now been over two hours, and the status has not changed.

 Could you kindly look into this issue and assist me in resolving it as soon as possible?

Thank you for your time and assistance. I look forward to your response.",Check after 4 or 24 hours for bank reconciliation
"While adding college list under Choose Jr. College, the first preference automatically gets removed from the list. Please review.",Please check after some time
"I am selecting 3 to 4 different college, but in the preference list the first preference college name is appearing against all selected college. Kindly help.",Please check after some time
We are unable to multiple college in preference list,Please check after some time
Under tab of choosing option for medium there is no option for selecting both medium i.e. Marathi and English at a time as we desire to choose other colleges also which are registered under English Medium .  If we choose option of medium as Marathi  then list of colleges having English medium is not displayed . There should be flexibility for choosing colleges irrespective of medium. Hence it is requested to add option for choosing  both medium i.e. Marathi and English at a time.,please provide screenshot
No other schools available only selected one school,Please mention your issue in brief with supported documents
Facing error  while adding multiple college only one college appears twice. Refer snapshot.,Please check after some time
unable to add colleges in CAP Option II Part. Showing error. College once added don't remain added in the list once the second college is added or selected.,Please provide screenshot
Jai hind school and jr college,Kindly mention your issue in brief
"Hello sir, there are three names of the same college, but when we select one by one, those colleges are not selected. While choosing, even if we name another college in the same taluka as same, the first college is not selected. please tell me the solution as soon as possible sir I am facing a lot of problems while choosing.",Please check after some time
"Hello sir, there are three names of the same college, but when we select one by one, those colleges are not selected. While choosing, even if we name another college in the same taluka as same, the first college is not selected. please tell me the solution as soon as possible sir I am facing a lot of problems while choosing.",Please check after some time
"Not able to add multiple college, appearing twice in lock option.",Please check after some time
Registration details,Please check again after some time
"I by mistake choose ""previously passed"" option and i wanted to choose ""fresher"" option
also i wanted to choose "" other board"" option but i choose ""SSC"" option
please let me change or make changes in this section","Write a letter , mention issue in detail with your signature and attach your marksheet in the grievance."
"I by mistake choose ""previously passed"" option and i wanted to choose ""fresher"" option
also i wanted to choose "" other board"" option but i choose ""SSC"" option
please let me change or make changes in this section","Write a letter , mention issue in detail with your signature and attach your marksheet in the grievance."
I selected correct option but After Selecting options Last Tab Shoes Wrong Option.,This issues is solve please check it
"When we fill option form and select preference then 1 item shows in table bellow.again when I select new colleges still old collge entry put in table ..meanse first option come twise in table

Why this happen ?",This issues is solve please check it
"First preference given was aided college.
Second preference wanted to add as unaided college. But its not getting added. 
If done thrice, it gets added, but then the duplicate aided college does not get deleted.
पहिला pref aided कॉलेज चा दिला. नंतर unaided अॅड केलं तर aided कॉलेजच पुन्हा add झाले. तीनदा केल्यावर unaided दिसू लागले, पण मग दोनदा अॅड झालेल्या aided पैकी एक delete होत नाही.",Please check again after some time
We have been trying to select colleges but while doing so we are unable to select more than 1 college its showing some requested choice code error. Kindly look into the issue and resolve it for us as soon as possible,Please check again after some time
payment done through upi but not updated in the form,Check after 4 or 24 hours for bank reconciliation
Payment was deducted but showing as pending and again its asking for payment,Check after 4 or 24 hours for bank reconciliation
"seat number is '15193095' but by mistake it got mentioned as '151193095'
there is no option to edit","Please write a letter, mention issue in detail with your signature and attach your marksheet in grievance."
WHILE ADDING MULTIPLE COLLEGE IT ADDS IN THE BASKET BUT DISPLAYS SAME COLLEGE NAME IN THE LIST. AND WHEN SAVED. IT GIVES ERROR. SCREEN SHOT IS ATTACHED. E.G. 1. i chose st mira's college 2. abeda inamdar but it displays st mira's in both the places and does not save and gives error.,Please check again after some time
11 admission,Please mention your issue in brief
not more than 9 colleges are displayed. Plz update and display all the colleges,Please check again after some time
Unabel to update Correct Birth date 16/04/2008 whereas application form show Default date 28/05/2010,You can edit your birth date in profile details
Though all form filling process is completed Application form 1 is not getting lock,Please check again after some time
Though all form filling process is completed Application form 1 is not getting lock,Please check again after some time
Lock nahi hi raha hai,Just relog Your account refresh the dashboard
Lock nahi hi raha hai,Just relog Your account refresh the dashboard
some college available in English while some in Marathi,Please select the medium you want.
I have filled every part of the form even made the payment but i still cant lock as its saying inccomplete please help out,Just relog Your account refresh the dashboard
application is proper but still not able to lock it,Just relog Your account refresh the dashboard after 2 pm
I am make a Payment and my payment is successful but in system my payment shows Validate Payment option. please solve my problem sir/mam.,your issue is resolved please login again and check
"I am writing to inform you about a payment issue on the FYJC admission portal for the Pune region.

I successfully completed the admission processing fee payment, but the portal still shows the “Pay” button and does not reflect the payment. I have not received any confirmation even though the amount is deducted",Check after 4 or 24 hours for bank reconciliation
"I have selected list of colleges  but before making preferences i clicked on  saved  option. Now i am not able to select colleges by preference list. 
Kindly reset and allow me to have preference in college selection",Please check after some time
"I am unable to select colleges as per my wish. after selecting first college, when we select another college for 2nd position, it changes its name as the first college, As shown in the picture. If we ignore it and select 3rd college and click save choice, it gives a error. Please fix it.",Please select again after some time
COULD NOT SELECT THE COLLEGES PROPERLY,Please check again after some time
Cannot add more than one college in the college preference list. List getting erased again and again.,Please kindly check after some time
I AM UNABLE TO ADD AND SAVE MULTIPLE COLLEGES IN MY LIST.,Please check again after some time
i am CBSE student and secured more marks in IT subject. can i select this subject for best of 5 in securing my FYJC college admission,You can add best of five subjects marks
when i choose another college to add but same colleges previously added will add again and again,Kindly check after some time
"Dear Sir,

I am trying to select 10 colleges but first preference is auto adding at number two too and i cant select more than 3 colleges. When I select 4th choice, already selected 3 choices are auto deleting and fourth is appearing as my 1st choice.
Pls help to fix urgently.",Kindly check after some time
"Hi Team,

Hope you're all doing well!

I wanted to bring to your attention a bug in the Choose Jr College section. While selecting colleges from the shortlist, I was able to successfully add the first college to the choice list. However, upon adding a second college, the first college's name gets duplicated, and the second college does not appear in the list.

I've attached a snapshot for your reference.

As the CAP admission process has already begun, I kindly request you to address this issue on priority.

Thanks and regards,
Samarth",Please check after some time
Requested choice code not matched. when clicked on a college,Please check after some time
unable to add other/any colleges,Please check again after some time
"I am unable to add colleges, it's giving me same college name again and again",Please check again after some time
When we add more colleges it shows Poona college name multiple times. Refer snapshot.,Please check after some time
"It is not taking more than 3 colleges and out of the 3, 1st pref gets added twice even on selecting 3 different colleges.",Please select again after some time
"Category & Reservation Details 

need to select EWS Category instead of General /Open",Please mention your issue in brief with necessary document
"NOT ABLE TO SELECT THE COLLEGES PROPERLY AND COULD SAVE THEM ALSO SHOWING THE COLLEGE CODE DID NOT MATCH, TRIED IT MANY TIMES,

SCREENSHOT IS ALSO ATTACHED HEREWITH",Please check again after some time
"Amount 102.36rupees
Tr id 514621806423
Date and time -26 May 2025, 9:44 pm 
Applicant name shraddha Apparao Gangawane 
Note -payment slip add doc",Check after 4 or 24 hours for bank reconciliation.
"Amount 102.36rupees
Tr id 514621806423
Date and time -26 May 2025, 9:44 pm 
Applicant name shraddha Apparao Gangawane 
Note -payment slip add doc",Check after 4 or 24 hours for bank reconciliation
"Amount 102.36rupees
Tr id 514621806423
Date and time -26 May 2025, 9:44 pm 
Applicant name shraddha Apparao Gangawane 
Note -payment slip add doc",Check after 4 or 24 hours for bank reconciliation
"the system does not allow me to select 
1. bmcc aided
2. bmcc unaided
at the same time",please provide screenshot
"AFTER ADDING ANY SUBSEQUENT COLLEGE PREFERENCE, NAME OF THE FIRST CHOOSEN COLLEGE IS NOT APPEARING IN THE LIST OF ALL SUCH CHOSEN COLLEGES.",Please check after some time
"AFTER ADDING ANY SUBSEQUENT COLLEGE PREFERENCE, NAME OF THE FIRST CHOOSEN COLLEGE IS NOT APPEARING IN THE LIST OF ALL SUCH CHOSEN COLLEGES.",Please check after some time
"Whenever try to select the different colleges,finally one college name is getting selected ,attached is the screenshot for reference, unable to select different colleges.",Kindly check after some time
"as i select few colleges and add it to my save choices , my preference list is empty, I am unable to select more than one college",Please check after some time
I have filled the application form properly with every detail checked twice then too in the end while I try to lock the form I am not able to do it as it is showing that registration details section missing in the application form although filled earlier. I think this is a problem from your end so please try to resolve this issue so that I can move further in filling my form.,Please check again after some time
I am not able to add more than 1 college,Please check after some time
Unable to select College,Please select after some time
"On clicking the add button beside a college, I am unable to add it to the list. Could you please advice?",Please check again after some time
"science in marathi medium mean question paper and books in marathi lang, Right?",Please select the medium you want.
"payment is done but it is showing in the form, check the receipt attached Below",Check after 4 or 24 hours for bank reconciliation.
"I am Aryan Maurya, I cleared my 10th exam (SSC) board in year 2025.

 However I wrongly choosen option of previously passed.

Now the fresher option is disabled and I am not able to register for college.

Please rectify this issue.
It would be very helpful if you can rectify this issue as soon as possible.",Please write letter with your signature and SCC marksheet upload the document
B.K. Birla collage name is doubled and after adding 2nd collage only birla collage is appear,Please check after some time
Payment made to FYJC(11 th) admission process registration fees but paid option not disable on form. Screen Shot for paid amount attached here with.,your payment is not success here. do payment again your 1st time transaction you get back with in 4 to 8 working days.
"If  we select two collages , prefer saved list shows one collage two times.",Please select after some time
"Dear Sir/Madam,
I am writing to bring to your attention about a technical issue I am facing on the official website for 11th Admission.
I am unable to select and finalize colleges through portal, which is affecting my admission process. Despite completing all required steps and submitting my preferences, the portal is not allowing me to confirm my college choice.
I kindly request your assistance in resolving this matter and guide me to the next step.
Please let me know if any further information is needed.",Please check after some time
"After adding 2nd college, the first preference is being repeated in the second choice also. Please look into the issue immediately.",Please check after some time
Payment deducted but still shows fee is pending,Check after 4 or 24 hours for bank reconciliation.
Plz recovery,Please check after some time
I have created the log in on 21st May 25 by filling all registration details. Today on 26th May 25 I have started filling other parts of part 1 by uploading all relevant documents of open category with fees paid of Rs. 100/-. However in lock form my current status is showing as incomplete and error message pop up as missing registration details even though all registration details are already filled during creating login id. Please refer to attached documents and help me to get this sorted.,Just relog Your account refresh the dashboard after 1 pm
"1. We are unable to add multiple Colleges  to the selected list after adding 2nd college into the selection all the selected colleges gets cleared from the choices. 
2. if college is having 2 codes like CGE and CNE unable to select both it gives only 1 choice which is selected 1st.",Please check after some time
"While the system allows to search for multiple colleges, the system adds the same colleges inspite of correct choice. This seems like system error, which needs to be fixed",Please check after some time
Inhouse Quota - Yes,Please describe your issue in brief and provide necessary document.
Not Able to select multiple college,Please check after some time
I selected Dr. Kalmadi High school and Jr. College which was saved and showing in the added list. Then second preference chosen was Fergusson College and added. But in the display it shows second preference also Dr. Kalmadi High school and Jr. College,Please check after some time
unable to add second choice college,Please check after some time
While adding colleges one gets added and while trying to add the next one the old one is not visible and still saving the choices this issue is there,Please check after some time
unable to select the 2 nd preference . while selecting the first its showing twice in list and after that trying to select second but is not getting select,Please check after some time
"If I add more than 1 college the selection is not getting saved, hence I had to submit the form with 1 option. The site is giving error to select more than 1 college",Please check after some time
"This is to inform you that we have filled in all the required details in the application form. However, the status still appears as ""incomplete,"" and we are receiving the following error message when attempting to lock the application:

“Application form is incomplete. Missing sections: Registration Details.”

We kindly request your assistance in resolving this issue as soon as possible.

Thank you for your support.",Please check after some time
"UNABLE TO LOCK FORM ,ALL DETAILS ENTERED ARE CORRECT",Just relog Your account refresh the dashboard after 1 pm
My total marks is 418+10= 428 But in CAP option the system shows my marks as 418. Seat number is D010326,Please provide your marksheet
Had selected JAI HIND COLLEGE as second preference but the second preference is showing as R.A.PODAR COLLEGE OF COMM. & ECONOMICS which is the first preference,Please check again after some
"After selecting the first preferred college, it will repeat the first college again, even if we select different college options.",Kindly check after some time
Maths with IT In unattend,Kindly mention issue in brief and provide screenshot of the same.
"Dear Administrator,

I made the payment online through google pay however it is showing the following message and not letting me process further formality for applying.
""Your Prior Transaction is in Pending Status and We have Not Recieved Any Confirmation
If you wish to validate the verify your transaction then kindly Click The validate button.

If your transaction is not validated Kindly wait for 30 Minutes before proceeding for the Transaction Update....",Wait until it is confirmed and validated
"by mistake I was tick repeater student instead of fresher in application status
how i can change application status in Student registration","Please write letter, mention your issue with your signature and also attach your marksheet."
Maths with IT OR HINDI,Kindly mention issue in brief and provide screenshot of the same.
i cant add more than one college name in cap form when i am trying to add second college name it is repeating the first college name twice !!!!!!!,Team working on this field kindly check after 2 pm
Cannot add multiple,Please check after some time
I have paid the fees and it has been deducted from my bank account even after 30 minutes it's still pending so please kindly note my problem and solve it,your issue is resolved please login again and check
"When I'm trying to add the name of 2nd college to the list, the first one gets duplicated. What can be done in such scenario?  I have attached an image for your reference.","Already solved that issue, even if you are facing any problem provide screenshot"
"When i click pay, the window gets stuck and dosent load.",Our team working on that please check after sometime.
"When I select Fergusson college for Arts, it is not getting saved. None of my choices are saved after so many attempts",Please check after some time
I have selected multiple colleges in option form but at the time of saving error showing as requested choice code not matched,Team working on this field kindly check after 2 pm
When we are trying to select the college preference it is not adding multiple choice. We are unable to add multiple colleges.,Please check after some time
"not able to select more than one college, preferences not getting updated correctly.",Please check after some time
"Any new college added to the preferred list does not appear in the selected colleges list. The college selected earlier appears twice, thrice and multiple times",Please check after some time
if we are selecting one colleg & after another college then the problem arise of error,Please check after some time
Form filling fees are not being reflected on the web portal even though payment has been successfully done.,your issue is resolved please login again and check
"List of selected colleges not getting saved. also after selecting 1st college, even if we select 2nd another college, name of 1st college is appearing in 2nd choice also.",Please check after some time
i m trying to lock the form but after completing form message shows that the application form is incomplete,Please check after some time
"I am getting message ""registration details incomplete"".
Please find the application form attached below.",Just relog Your account refresh the dashboard after 1 pm
"Some colleges are not in the list. 
For example; New English School & Jr. College (choice code- MU6684SOE)
please guide.","Kindly provide more details with screenshot, provide name of the college you want"
"First choice is correctly getting selected.
After selecting second choice (used add button), first choice is reappearing as second choice.
Tried using a different browser, cleared cache etc but problem persist.",Kindly check after 2 hrs
i have paid rs.102 through upi and its showing payment has not been done hence we are unable to proceed further to unlock the part 1 requesting you to find attached documents for your reference and solution for the same.,Kindly check after 4 hour.
"can not add multiple collages, when add second collage it adds first collage 2 times
when add 3rd collage it adds second choice 2 times and removes first one",Kindly check after 1 pm
"Hello, 

This is to bring to your attention that while choosing colleges, the name of the colleges are getting repeated despite of selecting different colleges. Post selecting 3 colleges, when we select 1 more college to add, it shows the previously selected colleges as blank in the list. Kindly look into the issue and fix it asap.",Kindly check after 1 pm
"I am able to select 1st college and save it, then when i go the select 2nd college, it shows the same college (1st College name) 2 times in the selected list. When we select the 2nd college again, it shows in the selected list along with the 1st college name 2 times and when i go to select the 3rd college the selected college list disappears. The same thing is happening even when i log out an login again. i tries this 8-10 times and still the same issue.",Kindly check after 1 pm
"Showing as pending in application form. 
Payment screenshot is attached.",your issue is resolved please login again and check
the list of preferred college gets deleted after I select two colleges. I have to restart all over again,Kindly check after 1 pm
All details have been filled in under Registration details yet while trying to lock the application form it  gives error that Registration details missing hence unable to lock the form,Just relog Your account refresh the dashboard after 1 pm
This account was created by mistake sorry,Kindly mention your issue in brief
"I am unable to save college preferences here. It keeps saying ""request choice code did not match"".",Kindly check after 2 hrs
No,Kindly mention if you experience any issue
"In addition to ticket GRVAPL1, maximum 3 colleges are getting added. If 4th College is added then earlier choices get vanished and latest selection appears.",Kindly check after 2 hrs
Payment completed of 11th admission but not shown on online portall,your issue is resolved please login again and check
None,Kindly mention if you experience any issue
"Respected Registrar,

I have paid the admission processing fee on 26 may 2025, but my application status still shows as incomplete.
Details:
Name: Mohd. Shawez Abdul Salim
Application ID: 151100502140
Payment:
UTR -  514615463570
Txn -  FNPIB2516016071
Please update the status at the earliest. Let me know if you need any more info.

Thank you,
Mohd. Shawez Abdul Salim
9529516416",Please provide Screenshot or Transaction id for the same.
None,Kindly mention if you experience any issue
"Unable to select the preferred college. 
1. If I select the college then it automatically duplicates it. 
2. When I try to save it it says Requested choice code not matched.",Just relog Your account refresh the dashboard after 1 pm
"this is to inform you that i am not able to save the selected Jr colleges after 3-4 colleges, every time it shows preffrence saved but after some time its deleted automatically, required help as to how to save the selected colleges",Kindly check after 1 pm
at the time of selecting colleges there is an error which is adding same college multiple times and also when more than 2 or 3 colleges are selected suddendly the list gets vanished,Kindly check after 1 pm
"Respected Sir/Madam,
 I am writing to report an issue I encountered while using the choose jr. colleges portal, while attempting to add multiple college  preferences, i was unable to proceed beyond adding first college. Requesting to please resolve,.

Yours sincerely, 
Sumith Poojari",Kindly check after 1 pm
Registration fees has been paid but then also showing to pay fees and not moving forward process.,sometime site reload itself because there are lot of traffic on the site. just relog your account and refresh your dashboard
